,Date,parameter,value
251,2021-07-25,pm25,14.625
252,2021-08-03,pm10,26.339285714285715
253,2021-08-03,pm25,15.703703703703704
254,2021-08-04,pm10,16.40909090909091
255,2021-08-04,pm25,10.88
256,2021-08-05,pm10,29.967741935483872
257,2021-08-05,pm25,11.428571428571429
258,2021-08-06,pm10,27.793548387096774
259,2021-08-06,pm25,15.6
260,2021-08-07,pm10,32.406451612903226
261,2021-08-07,pm25,20.83823529411765
262,2021-08-08,pm10,21.46153846153846
263,2021-08-08,pm25,13.727272727272727
264,2021-08-09,pm10,31.0126582278481
265,2021-08-09,pm25,18.647058823529413
266,2021-08-10,pm10,34.666666666666664
267,2021-08-10,pm25,15.154929577464788
268,2021-08-11,pm10,28.973509933774835
269,2021-08-11,pm25,15.235294117647058
270,2021-08-12,pm10,37.0234375
271,2021-08-12,pm25,19.574074074074073
272,2021-08-13,pm10,41.56363636363636
273,2021-08-13,pm25,20.520833333333332
274,2021-08-14,pm10,26.09090909090909
275,2021-08-14,pm25,15.015384615384615
276,2021-08-15,pm10,20.55
277,2021-08-15,pm25,9.014925373134329
278,2021-08-16,pm10,24.551020408163264
279,2021-08-16,pm25,7.826923076923077
280,2021-08-17,pm10,31.16216216216216
281,2021-08-17,pm25,17.344827586206897
282,2021-08-18,pm10,38.43030303030303
283,2021-08-18,pm25,22.408450704225352
284,2021-08-19,pm10,30.714285714285715
285,2021-08-19,pm25,12.333333333333334
286,2021-08-20,pm10,33.23
287,2021-08-20,pm25,14.6875
288,2021-08-21,pm10,12.113821138211382
289,2021-08-21,pm25,6.701492537313433
290,2021-08-22,pm10,15.636363636363637
291,2021-08-22,pm25,9.279411764705882
292,2021-08-23,pm10,21.264957264957264
293,2021-08-23,pm25,7.155555555555556
294,2021-08-24,pm10,21.920529801324502
295,2021-08-24,pm25,7.316666666666666
296,2021-08-25,pm10,25.592105263157894
297,2021-08-25,pm25,6.777777777777778
298,2021-08-26,pm10,39.69402985074627
299,2021-08-26,pm25,13.770833333333334
300,2021-08-27,pm10,45.86740331491713
301,2021-08-27,pm25,17.696969696969695
302,2021-08-28,pm10,20.67539267015707
303,2021-08-28,pm25,7.046875
304,2021-08-29,pm10,19.598984771573605
305,2021-08-29,pm25,7.440677966101695
306,2021-08-30,pm10,18.216346153846153
307,2021-08-30,pm25,12.794117647058824
308,2021-08-31,pm10,22.353535353535353
309,2021-08-31,pm25,14.90625
310,2021-09-01,pm10,22.269430051813472
311,2021-09-01,pm25,13.457142857142857
312,2021-09-02,pm10,18.979274611398964
313,2021-09-02,pm25,14.784615384615385
314,2021-09-03,pm10,18.288770053475936
315,2021-09-03,pm25,13.072289156626505
316,2021-09-04,pm10,22.60335195530726
317,2021-09-04,pm25,17.182795698924732
318,2021-09-05,pm10,30.384180790960453
319,2021-09-05,pm25,18.505494505494507
320,2021-09-06,pm10,18.288343558282207
321,2021-09-06,pm25,11.887640449438202
322,2021-09-07,pm10,18.593333333333334
323,2021-09-07,pm25,13.64102564102564
324,2021-09-08,pm10,21.950310559006212
325,2021-09-08,pm25,13.154761904761905
326,2021-09-09,pm10,23.582857142857144
327,2021-09-09,pm25,10.518987341772151
328,2021-09-10,pm10,25.410714285714285
329,2021-09-10,pm25,9.051282051282051
330,2021-09-11,pm10,23.517441860465116
331,2021-09-11,pm25,9.61038961038961
332,2021-09-12,pm10,14.845744680851064
333,2021-09-12,pm25,7.317460317460317
334,2021-09-13,pm10,19.115151515151513
335,2021-09-13,pm25,7.416666666666667
336,2021-09-14,pm10,20.55135135135135
337,2021-09-14,pm25,6.679245283018868
338,2021-09-15,pm10,42.92537313432836
339,2021-09-15,pm25,16.28813559322034
340,2021-09-16,pm10,43.416666666666664
341,2021-09-16,pm25,26.441176470588236
342,2021-09-17,pm10,39.56666666666667
343,2021-09-17,pm25,22.59090909090909
344,2021-09-18,pm10,23.430939226519335
345,2021-09-18,pm25,14.328947368421053
346,2021-09-19,pm10,11.61111111111111
347,2021-09-19,pm25,7.375
348,2021-09-20,pm10,25.379679144385026
349,2021-09-20,pm25,13.965116279069768
350,2021-09-21,pm10,41.024875621890544
351,2021-09-21,pm25,21.58888888888889
352,2021-09-22,pm10,27.893491124260354
353,2021-09-22,pm25,10.343283582089553
354,2021-09-23,pm10,27.75609756097561
355,2021-09-23,pm25,8.583333333333334
356,2021-09-24,pm10,38.140845070422536
357,2021-09-24,pm25,15.795454545454545
358,2021-09-25,pm10,42.22429906542056
359,2021-09-25,pm25,22.86813186813187
360,2021-09-26,pm10,33.45652173913044
361,2021-09-26,pm25,20.34567901234568
362,2021-09-27,pm10,27.280898876404493
363,2021-09-27,pm25,10.531645569620252
364,2021-09-28,pm10,35.43414634146342
365,2021-09-28,pm25,16.819148936170212
366,2021-09-29,pm10,41.27093596059113
367,2021-09-29,pm25,23.946236559139784
368,2021-09-30,pm10,37.112994350282484
369,2021-09-30,pm25,23.94871794871795
